timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1541168084919,1343,Facebook,200,OK,MEAN 1-1,text,true,,514306,120,1,1,https://www.facebook.com/,467,0,125
1541168086264,1335,Facebook,200,OK,MEAN 1-1,text,true,,514036,120,1,1,https://www.facebook.com/,455,0,99
1541168087600,2495,Facebook,200,OK,MEAN 1-1,text,true,,514393,120,1,1,https://www.facebook.com/,1574,0,1247
1541168090096,1283,Facebook,200,OK,MEAN 1-1,text,true,,513759,120,1,1,https://www.facebook.com/,411,0,182
1541168091380,1181,Facebook,200,OK,MEAN 1-1,text,true,,513951,120,1,1,https://www.facebook.com/,304,0,106
1541168092562,1279,Facebook,200,OK,MEAN 1-1,text,true,,514880,120,1,1,https://www.facebook.com/,402,0,108
1541168093843,1445,Facebook,200,OK,MEAN 1-1,text,true,,514500,120,1,1,https://www.facebook.com/,555,0,107
1541168095290,1520,Facebook,200,OK,MEAN 1-1,text,true,,514816,120,1,1,https://www.facebook.com/,644,0,110
1541168096812,1312,Facebook,200,OK,MEAN 1-1,text,true,,513921,120,1,1,https://www.facebook.com/,453,0,99
1541168098125,1343,Facebook,200,OK,MEAN 1-1,text,true,,514068,120,1,1,https://www.facebook.com/,472,0,105
1541168099469,1463,Facebook,200,OK,MEAN 1-1,text,true,,514027,120,1,1,https://www.facebook.com/,565,0,110
1541168100933,1283,Facebook,200,OK,MEAN 1-1,text,true,,514344,120,1,1,https://www.facebook.com/,426,0,111
1541168102217,2091,Facebook,200,OK,MEAN 1-1,text,true,,514100,120,1,1,https://www.facebook.com/,1192,0,108
1541168104309,1312,Facebook,200,OK,MEAN 1-1,text,true,,514290,120,1,1,https://www.facebook.com/,437,0,144
1541168105622,1433,Facebook,200,OK,MEAN 1-1,text,true,,514402,120,1,1,https://www.facebook.com/,551,0,109
1541168107056,1215,Facebook,200,OK,MEAN 1-1,text,true,,514396,120,1,1,https://www.facebook.com/,343,0,109
1541168108272,1317,Facebook,200,OK,MEAN 1-1,text,true,,514807,120,1,1,https://www.facebook.com/,459,0,138
1541168109590,1341,Facebook,200,OK,MEAN 1-1,text,true,,513976,120,1,1,https://www.facebook.com/,472,0,120
1541168110933,1525,Facebook,200,OK,MEAN 1-1,text,true,,514087,120,1,1,https://www.facebook.com/,563,0,110
